state	_1996
Nationwide	16.8
Alabama	20.5
Alaska	17.5
Arizona	15.1
Arkansas	17.8
California	14.6
Colorado	10.3
Connecticut	13.4
Delaware	17.7
District of Columbia	16.8
Florida	16.7
Georgia	11.5
Hawaii	12.9
Idaho	16.9
Illinois	17
Indiana	18.6
Iowa	18.7
Kansas	13.4
Kentucky	19.2
Louisiana	19.7
Maine	16.1
Maryland	17.7
Massachusetts	13.1
Michigan	18.2
Minnesota	14.3
Mississippi	19.8
Missouri	19.2
Montana	14.3
Nebraska	16.3
Nevada	15.5
New Hampshire	14.5
New Jersey	13.5
New Mexico	14.1
New York	14.5
North Carolina	18.1
North Dakota	18.4
Ohio	18.9
Oklahoma	16.8
Oregon	16.4
Pennsylvania	18.7
Puerto Rico	16.8
Rhode Island	14.3
South Carolina	18.4
South Dakota	14.7
Tennessee	17.4
Texas	17.2
Vermont	14.9
Virginia	15.9
Washington	15.6
West Virginia	19.9
Wisconsin	17.1
Wyoming	15.1
