state	rate
Nationwide	21.1
Alabama	24.5
Alaska	22.1
Arizona	18.5
Arkansas	22.4
California	21.9
Colorado	14.9
Connecticut	17.9
Delaware	20.8
District of Columbia	20
Florida	18.8
Georgia	22.7
Guam	21.2
Hawaii	17.9
Idaho	20.5
Illinois	21
Indiana	24.5
Iowa	22.5
Kansas	21.6
Kentucky	24.6
Louisiana	24
Maine	19.5
Maryland	20.5
Massachusetts	16.6
Michigan	25
Minnesota	19.9
Mississippi	26.5
Missouri	23.2
Montana	18.8
Nebraska	20.7
Nevada	19.5
New Hampshire	19.4
New Jersey	19.6
New Mexico	19.7
New York	20.3
North Carolina	22.9
North Dakota	20.4
Ohio	22.4
Oklahoma	22.6
Oregon	21.1
Pennsylvania	22.1
Puerto Rico	22.2
Rhode Island	17.7
South Carolina	22.5
South Dakota	21.2
Tennessee	23.4
Texas	24.6
Utah	19.1
Vermont	17.6
Virginia	20.9
Virgin Islands	24.7
Washington	19.3
West Virginia	25.1
Wisconsin	22.4
Wyoming	19.7
