state	_2007
Nationwide	26.3
Alabama	30.9
Alaska	28.2
Arizona	25.8
Arkansas	29.3
California	23.3
Colorado	19.3
Connecticut	21.7
Delaware	28.2
District of Columbia	22.2
Florida	24.1
Georgia	28.7
Guam	24.6
Hawaii	21.7
Idaho	25.1
Illinois	25.6
Indiana	27.4
Iowa	27.7
Kansas	27.7
Kentucky	28.7
Louisiana	30.7
Maine	25.2
Maryland	26.3
Massachusetts	21.7
Michigan	28.2
Minnesota	26
Mississippi	32.6
Missouri	28.2
Montana	22.6
Nebraska	26.5
Nevada	24.6
New Hampshire	25.1
New Jersey	24.1
New Mexico	25.1
New York	25.5
North Carolina	28.7
North Dakota	27
Ohio	28.1
Oklahoma	28.8
Oregon	26.3
Pennsylvania	27.8
Puerto Rico	26.6
Rhode Island	21.7
South Carolina	29
South Dakota	27.2
Tennessee	30.7
Texas	28.6
Utah	22.4
Vermont	21.9
Virginia	25.3
Virgin Islands	26.3
Washington	25.9
West Virginia	30.3
Wisconsin	25.3
Wyoming	24.5
